user_id,age,last_month_salary,debt_ratio,using_lines_not_secured_personal_assets,total_loan,more_90_days_overdue,default_flag,age_risk,salary_risk,debt_ratio_risk,using_lines_risk,total_loan_risk,more_90_days_risk,risk_score,user_status
21979,44,6283,0.0,0.9999999,1,98,1,1,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""21979"",
    ""age"": ""44"",
    ""last_month_salary"": ""6283"",
    ""debt_ratio"": ""0.0"",
    ""using_lines_not_secured_personal_assets"": ""0.9999999"",
    ""total_loan"": ""1"",
    ""more_90_days_overdue"": ""98"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",21979 - cliente mau pagador
2851,35,3375,0.291469194,1.081836327,3,12,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""2851"",
    ""age"": ""35"",
    ""last_month_salary"": ""3375"",
    ""debt_ratio"": ""0.291469194"",
    ""using_lines_not_secured_personal_assets"": ""1.081836327"",
    ""total_loan"": ""3"",
    ""more_90_days_overdue"": ""12"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",2851 - cliente mau pagador
4738,47,16566,1.413593288,0.973401064,6,10,1,1,0,1,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""4738"",
    ""age"": ""47"",
    ""last_month_salary"": ""16566"",
    ""debt_ratio"": ""1.413593288"",
    ""using_lines_not_secured_personal_assets"": ""0.973401064"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""10"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",4738 - cliente mau pagador
33184,45,6541,0.268878019,1.550759392,6,13,1,1,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""33184"",
    ""age"": ""45"",
    ""last_month_salary"": ""6541"",
    ""debt_ratio"": ""0.268878019"",
    ""using_lines_not_secured_personal_assets"": ""1.550759392"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""13"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",33184 - cliente mau pagador
24628,55,6962,0.285652736,0.858261911,9,9,1,0,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""24628"",
    ""age"": ""55"",
    ""last_month_salary"": ""6962"",
    ""debt_ratio"": ""0.285652736"",
    ""using_lines_not_secured_personal_assets"": ""0.858261911"",
    ""total_loan"": ""9"",
    ""more_90_days_overdue"": ""9"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""1""
  }
}",24628 - cliente mau pagador
25958,50,4514,0.718715393,1.15827707,9,11,1,0,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""25958"",
    ""age"": ""50"",
    ""last_month_salary"": ""4514"",
    ""debt_ratio"": ""0.718715393"",
    ""using_lines_not_secured_personal_assets"": ""1.15827707"",
    ""total_loan"": ""9"",
    ""more_90_days_overdue"": ""11"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",25958 - cliente mau pagador
22416,43,5751,0.816411683,0.968004,12,11,1,1,0,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""22416"",
    ""age"": ""43"",
    ""last_month_salary"": ""5751"",
    ""debt_ratio"": ""0.816411683"",
    ""using_lines_not_secured_personal_assets"": ""0.968004"",
    ""total_loan"": ""12"",
    ""more_90_days_overdue"": ""11"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",22416 - cliente mau pagador
17852,34,11077,0.36261058,0.822942643,12,12,1,1,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""17852"",
    ""age"": ""34"",
    ""last_month_salary"": ""11077"",
    ""debt_ratio"": ""0.36261058"",
    ""using_lines_not_secured_personal_assets"": ""0.822942643"",
    ""total_loan"": ""12"",
    ""more_90_days_overdue"": ""12"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",17852 - cliente mau pagador
24576,55,5000,1.160367926,0.987691862,17,9,1,0,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""24576"",
    ""age"": ""55"",
    ""last_month_salary"": ""5000"",
    ""debt_ratio"": ""1.160367926"",
    ""using_lines_not_secured_personal_assets"": ""0.987691862"",
    ""total_loan"": ""17"",
    ""more_90_days_overdue"": ""9"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",24576 - cliente mau pagador
11500,38,4500,1.789157965,0.344297373,23,14,1,1,1,1,0,0,0,"{
  ""risk_score"": {
    ""user_id"": ""11500"",
    ""age"": ""38"",
    ""last_month_salary"": ""4500"",
    ""debt_ratio"": ""1.789157965"",
    ""using_lines_not_secured_personal_assets"": ""0.344297373"",
    ""total_loan"": ""23"",
    ""more_90_days_overdue"": ""14"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""0"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",11500 - cliente mau pagador
