user_id,age,last_month_salary,debt_ratio,using_lines_not_secured_personal_assets,total_loan,more_90_days_overdue,default_flag,age_risk,salary_risk,debt_ratio_risk,using_lines_risk,total_loan_risk,more_90_days_risk,risk_score,pagador_status
35241,24,5400,286.0,0.9999999,1,1,1,1,0,0,1,1,1,4,mau pagador
35154,28,5400,139.0,0.9999999,1,1,1,1,0,0,1,1,1,4,mau pagador
11586,28,2500,0.172331068,0.9999999,1,1,1,1,1,0,1,1,1,5,mau pagador
586,29,5400,14.0,0.994011976,1,1,1,1,0,0,1,1,1,4,mau pagador
6672,31,2500,0.362654938,0.9999999,1,1,1,1,1,0,1,1,1,5,mau pagador
1825,37,2975,0.16297043,0.9999999,1,1,1,1,1,0,1,1,1,5,mau pagador
10408,56,1400,0.111349036,1.109862672,1,1,1,0,1,0,1,1,1,4,mau pagador
17354,26,1200,0.340549542,1.122438781,2,1,1,1,1,0,1,1,1,5,mau pagador
6065,27,1500,0.019986676,0.934604905,2,1,1,1,1,0,1,1,1,5,mau pagador
34810,30,5400,312.0,0.928184161,2,1,1,1,0,0,1,1,1,4,mau pagador
8916,31,2800,0.644055694,0.976003692,2,1,1,1,1,1,1,1,1,6,mau pagador
8398,33,7250,0.099296649,0.9999999,2,1,1,1,0,0,1,1,1,4,mau pagador
31193,36,1900,0.664913204,0.9999999,2,1,1,1,1,1,1,1,1,6,mau pagador
25390,42,6083,0.104536489,1.984732824,2,1,1,1,0,0,1,1,1,4,mau pagador
5876,42,536,0.197392924,1.188270576,2,1,1,1,1,0,1,1,1,5,mau pagador
3973,42,3000,0.7994002,0.9999999,2,1,1,1,1,1,1,1,1,6,mau pagador
24539,46,3576,0.090578697,0.9999999,2,1,1,1,1,0,1,1,1,5,mau pagador
29469,47,2500,0.653738505,0.9999999,2,1,1,1,1,1,1,1,1,6,mau pagador
13800,54,6366,0.072090466,0.9999999,2,1,1,0,0,0,1,1,1,3,mau pagador
4640,55,2182,0.268896015,0.9999999,2,1,1,0,1,0,1,1,1,4,mau pagador
17628,59,6000,0.279620063,0.9999999,2,1,1,0,0,0,1,1,1,3,mau pagador
34007,69,2800,0.381292396,0.9999999,2,1,1,0,1,0,1,1,1,4,mau pagador
21759,69,2200,0.070422535,0.9999999,2,1,1,0,1,0,1,1,1,4,mau pagador
13330,70,1800,0.227651305,0.9999999,2,1,1,0,1,0,1,1,1,4,mau pagador
10058,81,3000,0.271909364,0.880449083,2,1,1,0,1,0,1,1,1,4,mau pagador
19807,23,5400,687.0,1.155527795,3,1,1,1,0,0,1,1,1,4,mau pagador
29366,24,620,0.935587762,1.245901639,3,1,1,1,1,1,1,1,1,6,mau pagador
4847,25,2575,0.154503106,0.9999999,3,1,1,1,1,0,1,1,1,5,mau pagador
27362,26,1839,0.247826087,1.383886256,3,1,1,1,1,0,1,1,1,5,mau pagador
14080,29,2796,0.156238827,1.94011976,3,1,1,1,1,0,1,1,1,5,mau pagador
3910,32,2200,0.048614266,0.815988973,3,1,1,1,1,0,1,1,1,5,mau pagador
10673,33,4000,0.164208948,0.867555478,3,1,1,1,1,0,1,1,1,5,mau pagador
7878,34,4625,0.402939905,0.99550075,3,1,1,1,1,0,1,1,1,5,mau pagador
2667,35,1800,0.23431427,0.908366534,3,1,1,1,1,0,1,1,1,5,mau pagador
4618,35,3201,0.109618988,1.066611157,3,1,1,1,1,0,1,1,1,5,mau pagador
29135,37,6420,0.15137829,0.0,3,1,1,1,0,0,0,1,1,3,mau pagador
889,39,5400,2816.0,0.9999999,3,1,1,1,0,0,1,1,1,4,mau pagador
31979,40,4000,0.240689828,0.59453117,3,1,1,1,1,0,0,1,1,4,mau pagador
6156,41,5400,291.0,1.312292359,3,1,1,1,0,0,1,1,1,4,mau pagador
25586,41,2548,0.081992938,0.896929303,3,1,1,1,1,0,1,1,1,5,mau pagador
22557,44,5400,737.0,0.982543641,3,1,1,1,0,0,1,1,1,4,mau pagador
32009,47,3068,0.08113392,1.136116152,3,1,1,1,1,0,1,1,1,5,mau pagador
23683,47,5538,0.136125654,0.72295082,3,1,1,1,0,0,1,1,1,4,mau pagador
9181,48,4985,0.416165263,0.9999999,3,1,1,0,1,0,1,1,1,4,mau pagador
5904,50,9000,0.073769581,0.9999999,3,1,1,0,0,0,1,1,1,3,mau pagador
13447,51,5400,418.0,0.9999999,3,1,1,0,0,0,1,1,1,3,mau pagador
33084,53,2922,0.744782757,0.9999999,3,1,1,0,1,1,1,1,1,5,mau pagador
18265,55,3985,0.581284496,0.9999999,3,1,1,0,1,1,1,1,1,5,mau pagador
5806,61,5400,1290.0,0.9999999,3,1,1,0,0,0,1,1,1,3,mau pagador
1460,25,3800,0.102604578,1.057647963,4,1,1,1,1,0,1,1,1,5,mau pagador
2554,25,974,0.521025641,2.638722555,4,1,1,1,1,1,1,1,1,6,mau pagador
14238,25,5400,159.0,1.038922954,4,1,1,1,0,0,1,1,1,4,mau pagador
28603,29,5225,0.06333716,1.114471382,4,1,1,1,1,0,1,1,1,5,mau pagador
20929,29,2000,0.740129935,0.9999999,4,1,1,1,1,1,1,1,1,6,mau pagador
24570,30,5400,476.0,1.046864232,4,1,1,1,0,0,1,1,1,4,mau pagador
26378,32,1800,0.43420322,1.034353529,4,1,1,1,1,0,1,1,1,5,mau pagador
12285,32,1166,2.423307626,0.925713758,4,1,1,1,1,1,1,1,1,6,mau pagador
26366,33,6200,0.205128205,0.944111776,4,1,1,1,0,0,1,1,1,4,mau pagador
